SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,rainfall_mm
35512,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,21-02-2021 08:00,0
35513,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,22-02-2021 08:00,0
35514,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,23-02-2021 08:00,0
35515,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,24-02-2021 08:00,0
35516,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,25-02-2021 08:00,0
35517,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,26-02-2021 08:00,0
35518,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,27-02-2021 08:00,0
35519,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,28-02-2021 08:00,0
35520,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,1/3/2021 8:00,10.92
35521,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,2/3/2021 8:00,0
35522,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,3/3/2021 8:00,0
35523,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,4/3/2021 8:00,0
35524,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,5/3/2021 8:00,0
35525,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,6/3/2021 8:00,0
35526,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,7/3/2021 8:00,0
35527,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,8/3/2021 8:00,0
35528,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,9/3/2021 8:00,0
35529,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,10/3/2021 8:00,0
35530,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,11/3/2021 8:00,0
35531,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,12/3/2021 8:00,0
35532,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,13-03-2021 08:00,0
35533,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,14-03-2021 08:00,0
35534,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,15-03-2021 08:00,0
35535,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,16-03-2021 08:00,0
35536,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,17-03-2021 08:00,0
35537,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,18-03-2021 08:00,0
35538,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,19-03-2021 08:00,0
35539,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,20-03-2021 08:00,0
35540,Sangla baspa khad,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,SHIMLA RURAL(T),-,-,-,-,-,-,-,-,31.42277778,78.265,21-03-2021 08:00,0
